NOC,Gold,Silver,Bronze,Total
Norvège,16,8,13,37
Allemagne,12,10,5,27
Chine,9,4,2,15
USA,8,10,7,25
Suède,8,5,5,18
Pays-Bas,8,5,4,17
Autriche,7,7,4,18
Suisse,7,2,5,14
ROC,6,12,14,32
France,5,7,2,14
Canada,4,8,14,26
Japon,3,6,9,18
Italie,2,7,8,17
Republique de Corée,2,5,2,9
Slovénie,2,3,2,7
Finlande,2,2,4,8
Nouvelle Zélande,2,1,0,3
Australie,1,2,1,4
Grande Bretagne,1,1,0,2
Hongrie,1,0,2,3
Belgique,1,0,1,2
République tchèque,1,0,1,2
Slovaquie,1,0,1,2
Biélorussie,0,2,0,2
Espagne,0,1,0,1
Ukraine,0,1,0,1
Estonie,0,0,1,1
Lettonie,0,0,1,1
Pologne,0,0,1,1
